id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified,entry_note,source_file
"nfl_alt_spread_captures","nfl_alt_spread_captures","data_table","market","server/migrations/035_alt_spread_capture.js","server/migrations/035_alt_spread_capture.js:70","n/a (raw storage table)","odds API (direct book scrapes / Odds API / SportsGameOdds)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/035_alt_spread_capture.js;server/services/alt-spread-import.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_alt_spread_quotes","nfl_alt_spread_quotes","data_table","market","server/migrations/035_alt_spread_capture.js","server/migrations/035_alt_spread_capture.js:104","n/a (raw storage table)","odds API (direct book scrapes / Odds API / SportsGameOdds)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/035_alt_spread_capture.js;server/services/alt-spread-import.js;scripts/import-alt-spreads.mjs","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_nfelo_lines","nfl_nfelo_lines","data_table","market","server/db/schema/mlb-model-misc.js","server/db/schema/mlb-model-misc.js:234","n/a (raw storage table)","nfelo","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfelo.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_odds_archive","nfl_odds_archive","data_table","market","server/db/schema/mlb-model-misc.js","server/db/schema/mlb-model-misc.js:314","n/a (raw storage table)","odds API (direct book scrapes / Odds API / SportsGameOdds)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/047_backfill_open_spread_pinnacle_2022_2025.js;server/migrations/052_line_snapshot_receipt_clock.js;server/services/beat-the-close.js;server/services/line-move-study.js  backfills game_lines.open_spread/open_total via a Pinnacle-derived Oddstrader median that had a sign-corruption bug for 2022-2025 rows (migration 047).","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_online_neural_artifacts","nfl_online_neural_artifacts","data_table","market","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:110","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-engine-registry.js;server/services/nfl-online-neural.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_online_neural_examples","nfl_online_neural_examples","data_table","market","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:99","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-online-neural.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_quote_batches","nfl_quote_batches","data_table","market","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:363","n/a (raw storage table)","odds API (direct book scrapes / Odds API / SportsGameOdds)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-advanced.js;server/services/nfl-t60-packet.js","unknown (not found)","live","yes (has capture/receipt clock column: received_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_quote_tape","nfl_quote_tape","data_table","market","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:390","n/a (raw storage table)","odds API (direct book scrapes / Odds API / SportsGameOdds)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/date-util.js;server/services/nfl-t60-packet.js","unknown (not found)","live","yes (has capture/receipt clock column: snapshot_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_sgp_quotes","nfl_sgp_quotes","data_table","market","server/migrations/014_profit_execution_triggers.js","server/migrations/014_profit_execution_triggers.js:23","n/a (raw storage table)","odds API (direct book scrapes / Odds API / SportsGameOdds)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/014_profit_execution_triggers.js;server/services/nfl-prop-correlation.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_news_event_extraction_cache","nfl_news_event_extraction_cache","data_table","news","server/migrations/019_nfl_news_events.js","server/migrations/019_nfl_news_events.js:56","n/a (raw storage table)","ESPN+other (RSS/TwitterAPI.io)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/019_nfl_news_events.js;server/services/nfl-news-events.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_news_events","nfl_news_events","data_table","news","server/migrations/019_nfl_news_events.js","server/migrations/019_nfl_news_events.js:21","n/a (raw storage table)","ESPN+other (RSS/TwitterAPI.io)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-t60-packet.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_news_extraction_attempts","nfl_news_extraction_attempts","data_table","news","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:79","n/a (raw storage table)","ESPN+other (RSS/TwitterAPI.io)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-news-signal.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_news_signals","nfl_news_signals","data_table","news","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:57","n/a (raw storage table)","ESPN+other (RSS/TwitterAPI.io)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-news-signal.js;server/services/scheduler.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_tweet_line_watch","nfl_tweet_line_watch","data_table","news","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:577","n/a (raw storage table)","ESPN+other (RSS/TwitterAPI.io)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-profitability.js;server/services/nfl-tweet-line-correlation.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_prop_calibration_fits","nfl_prop_calibration_fits","data_table","props","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:290","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/decay-watch.js;server/services/nfl-prop-calibration.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_prop_clv","nfl_prop_clv","data_table","props","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:298","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/scheduler.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_prop_policy_archive","nfl_prop_policy_archive","data_table","props","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:309","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-prop-clv.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_prop_quote_snapshots","nfl_prop_quote_snapshots","data_table","props","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:343","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-prop-clv.js;server/services/nfl-props.js;server/services/prop-feeds.js;server/services/props-total-consistency.js  100% underdog rows in the live DB; Odds API and Action Network prop paths currently write zero rows.","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_officials","nfl_officials","data_table","refs","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:86","n/a (raw storage table)","PFR (nfl-officials.js ingestOfficials)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-officials.js;server/services/nfl-team-card.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_depth","nfl_depth","data_table","roster","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:59","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-advanced.js;server/services/nfl-bitemporal.js;server/services/nfl-engine-registry.js;server/services/nfl-player-value.js  2025-only duplication: 57,323 rows vs 49,318 distinct (season,week,team,gsis_id) keys (8,005 dupes, 193 distinct captured snapshot times vs ~63 before); nfl-rookies.js depthRankFor() ignores captured and can leak future snapshots (not fixed).","unknown (not found)","live","yes (own receipt clock: captured — the only one of the five raw model-input tables that is genuinely point-in-time-safe)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_external_player_grades","nfl_external_player_grades","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:513","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-roster-strength.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_feature_coverage_snapshots","nfl_feature_coverage_snapshots","data_table","roster","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:460","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-feature-coverage.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_historical_adp","nfl_historical_adp","data_table","roster","server/db/schema/core-and-fantasy.js","server/db/schema/core-and-fantasy.js:721","n/a (raw storage table)","dynastyprocess (ADP CSV)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/consensus-weights.js;server/services/historical-adp-scrapes.js;server/services/historical-adp.js;server/services/preseason-model.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_historical_adp_scrape","nfl_historical_adp_scrape","data_table","roster","server/db/schema/core-and-fantasy.js","server/db/schema/core-and-fantasy.js:704","n/a (raw storage table)","dynastyprocess (ADP CSV)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/historical-adp-scrapes.js  written under a recordSync name in neither MANUAL_SOURCES nor JOBS — orphaned from scheduler bookkeeping.","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_historical_ffc_adp","nfl_historical_ffc_adp","data_table","roster","server/db/schema/core-and-fantasy.js","server/db/schema/core-and-fantasy.js:465","n/a (raw storage table)","dynastyprocess (ADP CSV)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/consensus-weights.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_line_snapshots","nfl_line_snapshots","data_table","roster","server/db/schema/core-and-fantasy.js","server/db/schema/core-and-fantasy.js:738","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/book-feeds.js;server/services/clv-core.js;server/services/line-shopping.js;server/services/nfl-sharp.js  five separate writers with different provider labels; received_at is a constant (not a real per-row receipt clock) for archive-sourced rows per migration 052.","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_player_feature_vectors","nfl_player_feature_vectors","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:632","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-blind-audit.js;server/services/nfl-model-growth.js;server/services/nfl-weekly-feature-store.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_player_roster_events","nfl_player_roster_events","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:218","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-roster-strength.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_player_state_quarantine","nfl_player_state_quarantine","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:238","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-player-state.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_player_week_features","nfl_player_week_features","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:160","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/football-context.js;server/services/nfl-advanced.js;server/services/nfl-engine-registry.js;server/services/nfl-pbp.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_pregame_snapshot_history","nfl_pregame_snapshot_history","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:263","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-player-value.js;server/services/nfl-pregame.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_rookie_evidence","nfl_rookie_evidence","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:493","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-rookies.js;server/services/nfl-roster-strength.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_roster_snapshots","nfl_roster_snapshots","data_table","roster","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:204","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/draft-assist.js;server/services/nfl-blind-audit.js;server/services/nfl-player-state.js;server/services/offseason-model.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_signal_snapshots","nfl_signal_snapshots","data_table","roster","server/db/schema/core-and-fantasy.js","server/db/schema/core-and-fantasy.js:416","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/beat-the-close.js;server/services/nfl-weather.js;scripts/_prepare-validation-db.mjs","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_snaps","nfl_snaps","data_table","roster","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:53","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-advanced.js;server/services/nfl-availability.js;server/services/nfl-bitemporal.js;server/services/nfl-engine-registry.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_team_coaches","nfl_team_coaches","data_table","roster","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:207","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-coaches.js;server/services/scheduler.js  reaches ensemble ctx (nfl-roster-strength.js:362) as metadata only; no predict() reads it numerically.","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nflverse_player_positions","nflverse_player_positions","data_table","roster","server/db/schema/mlb-model-misc.js","server/db/schema/mlb-model-misc.js:292","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-pbp.js;server/services/nflverse.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_total_calibrations","nfl_total_calibrations","data_table","total","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:567","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-total-calibration.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_total_picks","nfl_total_picks","data_table","total","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:335","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-pick-watch.js;server/services/nfl-props.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_game_weather","nfl_game_weather","data_table","weather","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:612","n/a (raw storage table)","weather API","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-t60-packet.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_game_weather_forecast_history","nfl_game_weather_forecast_history","data_table","weather","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:603","n/a (raw storage table)","weather API","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-t60-packet.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"eval_audit_registry","audit-registry.js preregistration/seal","evaluation","infra","server/services/audit-registry.js","server/services/audit-registry.js:192","seals audits with a tightening Sidak-step alpha; runAudit() writes significant + (new) corrected_alpha_at_seal/prior_tests_at_seal","its own audit registry table","n/a","n/a","bayes_eb","self","yes — migration 054's own test pins that the bar genuinely tightens as the registry fills","""FINAL ORDER #4"": migration 054 adds corrected_alpha_at_seal and prior_tests_at_seal, previously discarded despite runAudit() always computing a Sidak-tightened bar","before migration 054, a sealed row recorded significant but not the alpha it cleared nor the prior-test count, so a reader could not tell whether a result cleared 0.05 or 0.002","unknown (not found)","live","n/a","n/a","2026-09-16","","rows-data-and-infra.csv"
"eval_data_lineage_inventory","scripts/data-lineage-inventory.mjs table-reader mapper","evaluation","infra","scripts/data-lineage-inventory.mjs","scripts/data-lineage-inventory.mjs:128","grep/static-analysis mapper of which files read which of the 129 nfl_ tables, and reachability from the live pick path","all 129 nfl_ tables (read-only static analysis, never opens the DB)","n/a","n/a","heuristic","n/a","unknown (not found)","70 of 129 nfl_ tables have no reader in server/scripts/research; nfl_team_week_features.features JSON blob has 127/183 computed feature keys unused — docs/evidence/2026-09-16/data-lineage-report.md","unknown (not found)","unknown (not found)","live","n/a","n/a","2026-09-16","DEFAULT_PICK_PATH_FILES), :167 (computeReachableFiles)","rows-data-and-infra.csv"
"eval_modeling_contracts","server/modeling/contracts.js point-in-time guards","evaluation","infra","server/modeling/contracts.js","server/modeling/contracts.js:20","assertTimestampedObservation guards the FANTASY walk-forward path (enforced); admitPointInTimeRow (new, FINAL ORDER #3) guards nfl_injuries/nfl_depth/nfl_team_week_features/nfl_snaps/nfl_pfr_adv row admission by cutoff","nfl_injuries,nfl_depth,nfl_team_week_features,nfl_snaps,nfl_pfr_adv","n/a","n/a","rule","self (12 tests)","yes (12 tests)","at a simulated 2025 Week-5 kickoff cutoff, strict admission refuses 10,080 rows: nfl_injuries 1,024/1,024, nfl_snaps 5,971/5,971, nfl_pfr_adv 2,953/2,953, nfl_team_week_features 132/132 (all 100%); only nfl_depth survives (11,004 admitted, 0 refused) — docs/evidence/2026-09-16/point-in-time-admission-report.json, scripts/point-in-time-admission-report.mjs","""FINAL ORDER #3"": guard built, tested (12 tests) and shipped but NOT enforced anywhere in the live serving path — Nick explicitly deferred the enforcement decision on 2026-09-16 pending (a) trustworthy historical measurement chain and (b) a product decision on what to claim when inputs have no clock","wire admitPointInTimeRow into the live serving path once (a) and (b) above are resolved (Nick's own deferred-decision note)","unenforced","partial (the guard exists and is correct; it governs tables that are themselves only partial/no point-in-time-safe per the table above)","n/a","2026-09-16","assertTimestampedObservation, older/enforced); server/modeling/contracts.js:147 (admitPointInTimeRow, new/unenforced)","rows-data-and-infra.csv"
"eval_nfl_decision_tape","nfl-decision-tape.js decision-identity ledger","evaluation","infra","server/services/nfl-decision-tape.js","server/services/nfl-decision-tape.js:80","records DECISION_TAPE_VERSION 'nfl-decision-tape-v2-c01-c02' identity/lifecycle rows into nfl_decision_runs/nfl_decision_events","nfl_decision_runs,nfl_decision_events,nfl_decision_run_invalidations","n/a","n/a","none (ledger)","n/a","unknown (not found)","unmeasured","unknown (not found)","unknown (not found)","live","n/a","n/a","2026-09-16","","rows-data-and-infra.csv"
"eval_walk_forward","server/modeling/walk-forward.js walk-forward splitter","evaluation","infra","server/modeling/walk-forward.js","server/modeling/walk-forward.js:35","creates walk-forward train/test splits and runs a candidate model through them; opens a final holdout only when authorized","caller-supplied observations","n/a","n/a","none (harness)","self","unknown (not found)","unmeasured","unknown (not found)","unknown (not found)","live","n/a","n/a","2026-09-16","createWalkForwardSplits), :84 (runWalkForward), :112 (openFinalHoldout)","rows-data-and-infra.csv"
"eval_clv_core","clv-core.js CLV math","evaluation","market","server/services/clv-core.js","server/services/clv-core.js:70","signedClvPoints — the CLV grading primitive used across execution/decision-tape rows","nfl_line_snapshots,nfl_bet_log","n/a","n/a","none (formula)","n/a","unknown (not found)","unmeasured","unknown (not found)","unknown (not found)","live","n/a","yes","2026-09-16","","rows-data-and-infra.csv"
"eval_nfl_execution_clv","nfl-execution-clv.js CLV grading pipeline","evaluation","market","server/services/nfl-execution-clv.js","server/services/nfl-execution-clv.js:49","grades executed bets against closing lines into nfl_clv_grades (CLV_GRADING_VERSION 'nfl-clv-v2-c13-c14-canonical-event-full-game')","nfl_bet_log,nfl_line_snapshots,nfl_clv_grades","n/a","n/a","none (formula)","clv-core.js","unknown (not found)","unmeasured","unknown (not found)","unknown (not found)","live","n/a","yes","2026-09-16","","rows-data-and-infra.csv"
"news_event_impact_model","News-claim market-impact model","evaluation","news","server/services/nfl-news-event-impact.js","server/services/nfl-news-event-impact.js:212","Whether a verified news claim's content improves prediction of the resulting market-price move, vs a price-only baseline (chronological OLS comparison)","nfl_news_events;nfl_quote_tape","reaction-pair price move,pre-claim volatility,claim content features","nfl-news-event-impact.js:reactionPairs,preClaimVolatility","ridge","chronological train/test split within evaluateModels","test/nfl-news-event-impact.test.js","unmeasured - docs/evidence/2026-09-09/AUDIT-EVIDENCE.md recorded 0 usable event/quote pairs at that audit's time","retain as a limited historical diagnostic, not a directional game predictor - LATEST-PLAN.md (~line 3745)","predeclared horizons, matched-handicap prices, receipt-clock-only latency - LATEST-PLAN.md Step 9","research_only","yes - pivots strictly on first_seen_time, chronological split","yes - reads nfl_quote_tape directly","2026-09-16","evaluateModels); :187 (fitOLS)","rows-player-news-live.csv"
"news_market_latency","News-to-market reaction latency","evaluation","news","server/services/nfl-news-market-latency.js","server/services/nfl-news-market-latency.js:203","News-to-market reaction latency and abnormal-move z-score for verified claims (event-study design vs cross-sectional peer moves)","nfl_news_signals_current;nfl_line_snapshots;nfl_verified_events","peer-adjusted price move,pre-claim noise z-score","nfl-news-market-latency.js:buildMarketMoveIndex","rule","self-gated research_eligible flag (n>=100, books>=3)","test/model-integrity.test.js;test/empty-state.test.js","unmeasured","pivot is claim.published_at, not a first-seen/extraction-receipt clock - methodologically distinct from the cutoff-safe first_seen_time discipline used elsewhere - LATEST-PLAN.md (~line 3882)","require actual local receipt/extraction clocks for latency claims per LATEST-PLAN.md Step 9","unenforced - self-declared 'latency measurement only; a reaction is not proof the claim caused the move'","partial","yes","2026-09-16","nflNewsMarketLatency); :246 (verifiedEventMarketLatency); :142 (quoteReaction)","rows-player-news-live.csv"
"nfl_props_replay","Player-props synthetic-line backtest","evaluation","props","server/services/nfl-props-replay.js","server/services/nfl-props-replay.js:149","Backtested prop-betting performance (win_rate/ROI/z-score) vs a self-built synthetic proxy line, not a real historical market price","nfl_player_week_features","trailing volume (halflife=3),trailing efficiency (halflife=4, shrunk)","none","heuristic","propPermutationTest (shuffled-outcome null check)","unknown (not found)","unmeasured","projectStat's halflife constants (3 volume / 4 efficiency) are hardcoded, not routed through the codebase's fitted shrinkage-fit.js - flagged in LATEST-PLAN.md's '6+ hand-rolled shrink-toward-prior formulas' item (nfl-props-replay.js:127, k=4)","route projectStat through shrinkage-fit.js's fitted k, like other production shrinkage","live - diagnostic tool, explicitly distinct from nfl-replay.js","yes","no - proxy line only, not a real market quote","2026-09-16","replayProps); :118 (projectStat)","rows-player-news-live.csv"
"nfl_referee_totals","Referee-crew over/under tendency test","evaluation","refs","server/services/nfl-officials.js","server/services/nfl-officials.js:114","Per-referee-crew over/under rate vs the closing total, with a multiple-comparisons-corrected significance test - not itself wired into any forecast","nfl_officials;game_lines","referee crew identity,closing total,actual total","none","rule","self (the function is its own significance test, Bonferroni-style correction for crews examined)","unknown (not found)","unmeasured - the function's own output finds no crew clears the corrected threshold, but this result is not persisted under docs/evidence/, experiment-results/, or a LATEST-PLAN.md section (only referenced in a server/services/staking.js:151-153 code comment)","none in the statistical method itself; LATEST-PLAN.md (~lines 1705-1706, 2816-2817) confirms no referee-crew tendency feature has been built despite the raw data being available","build the referee-tendency feature per LATEST-PLAN.md backlog item 14","research_only - diagnostic route only (server/routes/nfl-betting.js:1582), not imported by nfl-ensemble.js or nfl-auto-picks.js","n/a - retrospective measurement over completed games only","yes - joins against game_lines.total, the closing total","2026-09-16","refereeTotals)","rows-player-news-live.csv"
